easting,northing,porosity,permeability,poissons,youngs,oil,production
68449.28571428571,2414.285714285714,0.08833181712393492,0.03910141678341375,0.3229924745974131,9999696.34375,0.8529540066956542,116151.0
70373.55102040817,400.0,0.08814662827076,0.0385448031568067,0.32110058594844304,9729357.466796875,0.8479883415275253,116151.0
70373.55102040817,2414.285714285714,0.08833181712393492,0.03788860160450568,0.32000078735291027,9756425.662109375,0.8374534004833549,116151.0
70373.55102040817,4428.571428571428,0.08833181712393492,0.03788860160450568,0.3180109836393967,9776096.552734375,0.8288595362682827,116151.0
74222.08163265306,2414.285714285714,0.08420699793557307,0.036734293851138036,0.3159642087703105,9246381.060546875,0.8143961066380143,116011.42666666667
70373.55102040817,12485.714285714286,0.08729996304878092,0.03723717603314145,0.31980708352057263,9567729.09375,0.8266085096693132,115764.85666666667
72297.8163265306,12485.714285714286,0.08418084120312587,0.037055184084563805,0.31722486307262443,9366338.337890625,0.8133894762140699,115346.08666666667
68449.28571428571,4428.571428571428,0.08833181712393492,0.03910141678341375,0.3221052442386281,10010325.689453125,0.8452597769501153,115232.02333333333
68449.28571428571,400.0,0.08814662827076,0.03975761833571476,0.32385684846667573,9970623.63671875,0.8628033854183741,115206.62666666666
72297.8163265306,2414.285714285714,0.08521269527827988,0.037706609655928036,0.3180401726567652,9505310.23828125,0.8247397163650021,114655.6
68449.28571428571,8457.142857142857,0.08833181712393492,0.039061875992783976,0.321705816546455,9949343.830078125,0.838343552313745,113747.51666666666
68449.28571428571,10471.42857142857,0.08791244561118187,0.03873520586268273,0.3223831287177745,9874753.5625,0.8387542759592179,113747.51666666666
54979.42857142857,10471.42857142857,0.08606127458324138,0.03607441271474811,0.36327842419268563,11197292.724609375,0.9595277109474409,112481.45333333334
51130.89795918367,14500.0,0.08445809885798165,0.03512966700114799,0.36397354485234246,11175573.740234375,0.9580906390328892,112454.01
72297.8163265306,400.0,0.08502750642510495,0.038362811208229056,0.31930099698365666,9477747.5078125,0.8355444904882461,112452.30666666667
53055.163265306124,12485.714285714286,0.08445809885798165,0.03498446670831677,0.36548954725731164,11225084.516601562,0.963765412394423,112411.23
53055.163265306124,10471.42857142857,0.08507058142038261,0.03538448475257189,0.3689637662319001,11306315.407226562,0.9758216585905757,111855.53666666667
68449.28571428571,6442.857142857143,0.08833181712393492,0.03910141678341375,0.32154951815027744,9995274.7421875,0.8404158104967792,111449.95
49206.63265306122,14500.0,0.08913825211331061,0.03376703178034573,0.3655563991051167,11162942.986328125,0.9635748875152785,110830.23
70373.55102040817,6442.857142857143,0.08833181712393492,0.03788860160450568,0.3171545044169761,9766475.6171875,0.8234457549115177,110628.61
53055.163265306124,14500.0,0.08445809885798165,0.03498446670831677,0.3609368301113136,11125603.630859375,0.9488720880181063,110418.11666666667
54979.42857142857,8457.142857142857,0.08648064609599443,0.03640108284484935,0.3651100844144821,11247319.107421875,0.9694435257115401,110102.97
68449.28571428571,12485.714285714286,0.08729996304878092,0.03844999121204953,0.3233772024686914,9776151.236328125,0.841189728496829,109928.83
51130.89795918367,12485.714285714286,0.08445809885798165,0.03512966700114799,0.3693297189893201,11280192.395507812,0.9761129996040836,109577.65
51130.89795918367,10471.42857142857,0.08507058142038261,0.0355296850454031,0.373540273954859,11369210.134765625,0.9899423716706224,109559.45666666667
54979.42857142857,12485.714285714286,0.08544879202084042,0.03567439467049299,0.3603768258180935,11119003.935546875,0.9491329847078305,109432.53
